time,frame,throttle,brake,steer,speed,imu_ax,imu_ay,imu_az
1765391335.6191573,23047,0.386,0.000,0.002,8.076,85772.7031,131557.0000,-3.8807
1765391335.627164,23048,0.386,0.000,0.002,8.075,85772.7031,131557.0000,-3.8807
1765391335.6363919,23049,0.386,0.000,0.002,8.073,85772.7031,131557.0000,-3.8807
1765391335.64703,23050,0.386,0.000,0.002,8.078,85772.7031,131557.0000,-3.8807
1765391335.6771574,23051,0.370,0.000,0.001,8.081,85772.7031,131557.0000,-3.8807
1765391335.6781578,23052,0.370,0.000,0.001,8.087,85772.7031,131557.0000,-3.8807
1765391335.6861908,23053,0.370,0.000,0.001,8.089,85772.7031,131557.0000,-3.8807
1765391335.6943731,23054,0.370,0.000,0.001,8.090,85772.7031,131557.0000,-3.8807
1765391335.701373,23055,0.363,0.000,0.001,8.089,85772.7031,131557.0000,-3.8807
1765391335.7122881,23056,0.363,0.000,0.001,8.092,85772.7031,131557.0000,-3.8807
1765391335.7234209,23057,0.363,0.000,0.001,8.095,85772.7031,131557.0000,-3.8807
1765391335.735959,23058,0.363,0.000,0.001,8.098,85772.7031,131557.0000,-3.8807
1765391335.746979,23059,0.351,0.000,0.001,8.101,85772.7031,131557.0000,-3.8807
1765391335.7559996,23060,0.351,0.000,0.001,8.103,85772.7031,131557.0000,-3.8807
1765391335.7660263,23061,0.351,0.000,0.001,8.102,85772.7031,131557.0000,-3.8807
1765391335.7760363,23062,0.351,0.000,0.001,8.098,85772.7031,131557.0000,-3.8807
1765391335.786108,23063,0.335,0.000,-0.000,8.101,85772.7031,131557.0000,-3.8807
1765391335.8160307,23064,0.335,0.000,-0.000,8.101,85772.7031,131557.0000,-3.8807
1765391335.8170338,23065,0.335,0.000,-0.000,8.102,85772.7031,131557.0000,-3.8807
1765391335.8250978,23066,0.335,0.000,-0.000,8.102,85772.7031,131557.0000,-3.8807
1765391335.8336532,23067,0.335,0.000,0.001,8.100,85772.7031,131557.0000,-3.8807
1765391335.8406749,23068,0.335,0.000,0.001,8.096,85772.7031,131557.0000,-3.8807
1765391335.851393,23069,0.335,0.000,0.001,8.091,85772.7031,131557.0000,-3.8807
1765391335.8615518,23070,0.335,0.000,0.001,8.094,85772.7031,131557.0000,-3.8807
1765391335.8931808,23071,0.337,0.000,0.002,8.092,85772.7031,131557.0000,-3.8807
1765391335.8941846,23072,0.337,0.000,0.002,8.091,85772.7031,131557.0000,-3.8807
1765391335.901188,23073,0.337,0.000,0.002,8.090,85772.7031,131557.0000,-3.8807
1765391335.9102588,23074,0.337,0.000,0.002,8.087,85772.7031,131557.0000,-3.8807
1765391335.9188704,23075,0.347,0.000,0.002,8.081,85772.7031,131557.0000,-3.8807
1765391335.928452,23076,0.347,0.000,0.002,8.074,85772.7031,131557.0000,-3.8807
1765391335.9389622,23077,0.347,0.000,0.002,8.078,85772.7031,131557.0000,-3.8807
1765391335.9701276,23078,0.347,0.000,0.002,8.077,85772.7031,131557.0000,-3.8807
1765391335.9711273,23079,0.364,0.000,0.001,8.076,85772.7031,131557.0000,-3.8807
1765391335.9783545,23080,0.364,0.000,0.001,8.076,85772.7031,131557.0000,-3.8807
1765391335.9862487,23081,0.364,0.000,0.001,8.073,85772.7031,131557.0000,-3.8807
1765391335.9943516,23082,0.364,0.000,0.001,8.070,85772.7031,131557.0000,-3.8807
1765391336.0043712,23083,0.372,0.000,0.002,8.063,85772.7031,131557.0000,-3.8807
1765391336.0143774,23084,0.372,0.000,0.002,8.067,85772.7031,131557.0000,-3.8807
1765391336.045005,23085,0.372,0.000,0.002,8.063,85772.7031,131557.0000,-3.8807
1765391336.0460043,23086,0.372,0.000,0.002,8.063,85772.7031,131557.0000,-3.8807
1765391336.0550346,23087,0.390,0.000,0.001,8.062,85772.7031,131557.0000,-3.8807
1765391336.0640666,23088,0.390,0.000,0.001,8.057,85772.7031,131557.0000,-3.8807
1765391336.0710638,23089,0.390,0.000,0.001,8.050,85772.7031,131557.0000,-3.8807
1765391336.080094,23090,0.390,0.000,0.001,8.052,85772.7031,131557.0000,-3.8807
1765391336.0901062,23091,0.391,0.000,0.001,8.057,85772.7031,131557.0000,-3.8807
1765391336.1190417,23092,0.391,0.000,0.001,8.060,85772.7031,131557.0000,-3.8807
1765391336.120056,23093,0.391,0.000,0.001,8.067,85772.7031,131557.0000,-3.8807
1765391336.1280832,23094,0.391,0.000,0.001,8.065,85772.7031,131557.0000,-3.8807
1765391336.1363943,23095,0.398,0.000,0.000,8.066,85772.7031,131557.0000,-3.8807
1765391336.1444263,23096,0.398,0.000,0.000,8.062,85772.7031,131557.0000,-3.8807
1765391336.1534505,23097,0.398,0.000,0.000,8.061,85772.7031,131557.0000,-3.8807
1765391336.1639647,23098,0.398,0.000,0.000,8.068,85772.7031,131557.0000,-3.8807
1765391336.194095,23099,0.384,0.000,0.000,8.072,85772.7031,131557.0000,-3.8807
1765391336.195095,23100,0.384,0.000,0.000,8.081,85772.7031,131557.0000,-3.8807
1765391336.202096,23101,0.384,0.000,0.000,8.084,85772.7031,131557.0000,-3.8807
1765391336.2112174,23102,0.384,0.000,0.000,8.086,85772.7031,131557.0000,-3.8807
1765391336.219113,23103,0.376,0.000,-0.000,8.085,85772.7031,131557.0000,-3.8807
1765391336.2271185,23104,0.376,0.000,-0.000,8.084,85772.7031,131557.0000,-3.8807
1765391336.238393,23105,0.376,0.000,-0.000,8.089,85772.7031,131557.0000,-3.8807
1765391336.268248,23106,0.376,0.000,-0.000,8.093,85772.7031,131557.0000,-3.8807
1765391336.269248,23107,0.357,0.000,0.000,8.100,85772.7031,131557.0000,-3.8807
1765391336.277277,23108,0.357,0.000,0.000,8.102,85772.7031,131557.0000,-3.8807
1765391336.2857726,23109,0.357,0.000,0.000,8.102,85772.7031,131557.0000,-3.8807
1765391336.29328,23110,0.357,0.000,0.000,8.099,85772.7031,131557.0000,-3.8807
1765391336.3023448,23111,0.335,0.000,0.001,8.099,85772.7031,131557.0000,-3.8807
1765391336.3131797,23112,0.335,0.000,0.001,8.102,85772.7031,131557.0000,-3.8807
1765391336.34134,23113,0.335,0.000,0.001,8.104,85772.7031,131557.0000,-3.8807
1765391336.3423407,23114,0.335,0.000,0.001,8.106,85772.7031,131557.0000,-3.8807
1765391336.3504105,23115,0.338,0.000,-0.000,8.104,85772.7031,131557.0000,-3.8807
1765391336.3588352,23116,0.338,0.000,-0.000,8.103,85772.7031,131557.0000,-3.8807
1765391336.365725,23117,0.338,0.000,-0.000,8.097,85772.7031,131557.0000,-3.8807
1765391336.376343,23118,0.338,0.000,-0.000,8.094,85772.7031,131557.0000,-3.8807
1765391336.3863883,23119,0.331,0.000,0.000,8.079,85772.7031,131557.0000,-3.8807
1765391336.396395,23120,0.331,0.000,0.000,8.090,85772.7031,131557.0000,-3.8807
1765391336.4251535,23121,0.331,0.000,0.000,8.088,85772.7031,131557.0000,-3.8807
1765391336.426153,23122,0.331,0.000,0.000,8.092,85772.7031,131557.0000,-3.8807
1765391336.4341667,23123,0.368,0.000,0.000,8.086,85772.7031,131557.0000,-3.8807
1765391336.4421701,23124,0.368,0.000,0.000,8.093,85772.7031,131557.0000,-3.8807
1765391336.4491858,23125,0.368,0.000,0.000,8.082,85772.7031,131557.0000,-3.8807
1765391336.4591956,23126,0.368,0.000,0.000,8.092,85772.7031,131557.0000,-3.8807
1765391336.4696443,23127,0.356,0.000,0.000,8.087,85772.7031,131557.0000,-3.8807
1765391336.499155,23128,0.356,0.000,0.000,8.087,85772.7031,131557.0000,-3.8807
1765391336.5001547,23129,0.356,0.000,0.000,8.087,85772.7031,131557.0000,-3.8807
1765391336.5080705,23130,0.356,0.000,0.000,8.090,85772.7031,131557.0000,-3.8807
1765391336.517621,23131,0.354,0.000,0.001,8.084,85772.7031,131557.0000,-3.8807
1765391336.5252647,23132,0.354,0.000,0.001,8.088,85772.7031,131557.0000,-3.8807
1765391336.5332716,23133,0.354,0.000,0.001,8.075,85772.7031,131557.0000,-3.8807
1765391336.5442884,23134,0.354,0.000,0.001,8.082,85772.7031,131557.0000,-3.8807
1765391336.5553737,23135,0.360,0.000,0.000,8.083,85772.7031,131557.0000,-3.8807
1765391336.5846806,23136,0.360,0.000,0.000,8.084,85772.7031,131557.0000,-3.8807
1765391336.5856812,23137,0.360,0.000,0.000,8.087,85772.7031,131557.0000,-3.8807
1765391336.5946074,23138,0.360,0.000,0.000,8.085,85772.7031,131557.0000,-3.8807
1765391336.6031203,23139,0.361,0.000,-0.000,8.089,85772.7031,131557.0000,-3.8807
1765391336.610199,23140,0.361,0.000,-0.000,8.080,85772.7031,131557.0000,-3.8807
1765391336.6208267,23141,0.361,0.000,-0.000,8.083,85772.7031,131557.0000,-3.8807
1765391336.6313598,23142,0.361,0.000,-0.000,8.085,85772.7031,131557.0000,-3.8807
1765391336.661123,23143,0.352,0.000,0.001,8.088,85772.7031,131557.0000,-3.8807
1765391336.662627,23144,0.352,0.000,0.001,8.081,85772.7031,131557.0000,-3.8807
1765391336.669135,23145,0.352,0.000,0.001,8.086,85772.7031,131557.0000,-3.8807
1765391336.678176,23146,0.352,0.000,0.001,8.076,85772.7031,131557.0000,-3.8807
1765391336.686186,23147,0.353,0.000,0.000,8.080,85772.7031,131557.0000,-3.8807
1765391336.6951947,23148,0.353,0.000,0.000,8.066,85772.7031,131557.0000,-3.8807
1765391336.7063706,23149,0.353,0.000,0.000,8.076,85772.7031,131557.0000,-3.8807
1765391336.7353005,23150,0.353,0.000,0.000,8.076,85772.7031,131557.0000,-3.8807
1765391336.7353005,23151,0.365,0.000,-0.000,8.075,85772.7031,131557.0000,-3.8807
1765391336.7433052,23152,0.365,0.000,-0.000,8.078,85772.7031,131557.0000,-3.8807
